PlotNumber,DTFFF,NUMPLTSPLOT_H,SEEDWT,PODWGTPLOT,SEEDWTPLOT_H,NUMSEEDPLOT_H,Year
1,41,13,18.5,755.4,628,3394.594595,2023
2,45,15,14.9,785.6,651.9,4375.167785,2023
3,46,14,5.8,651.8,459.9,7929.310345,2023
4,42,15,15.6,979.4,786.8,5043.589744,2023
5,42,15,12.6,1244.8,997.4,7915.873016,2023
6,42,14,11.8,601,464.5,3936.440678,2023
7,39,13,14.7,621.6,483.3,3287.755102,2023
8,,,0,,,0,2023
9,43,15,17.9,1085.2,889,4966.480447,2023
10,40,12,13.9,311.6,221.6,1594.244604,2023
11,43,15,15.8,672.2,528,3341.772152,2023
12,44,10,16,534.8,438.2,2738.75,2023
13,43,14,12.4,1072.8,871,7024.193548,2023
14,42,16,14.9,1124.2,904.8,6072.483221,2023
15,40,15,10,788,634.4,6344,2023
16,43,16,13.5,964.8,811.5,6011.111111,2023
17,41,13,13.5,954.4,752.2,5571.851852,2023
18,41,15,10.4,510.6,402.3,3868.269231,2023
19,42,15,13.5,1136.8,937.1,6941.481481,2023
20,41,15,13.1,985.6,803.1,6130.534351,2023
21,42,15,15.2,978.2,776.1,5105.921053,2023
22,42,15,12.6,1169.6,922.6,7322.222222,2023
23,45,15,13.9,1226.2,1019.3,7333.093525,2023
24,45,11,15.4,681.2,539.5,3503.246753,2023
25,41,13,9.6,1000.6,814.7,8486.458333,2023
26,41,14,17.8,964.6,790.6,4441.573034,2023
27,43,15,14.6,1061,850.6,5826.027397,2023
28,44,14,13.4,1186.2,997.1,7441.044776,2023
29,41,15,16.8,772.8,562.8,3350,2023
30,41,15,15.3,943.4,777.8,5083.660131,2023
31,,,0,,,0,2023
32,43,12,9.2,1001.6,745.9,8107.608696,2023
33,40,11,14.6,1057.4,800.5,5482.876712,2023
34,41,14,15.8,975.4,801.7,5074.050633,2023
35,41,15,16.2,1277,1067.6,6590.123457,2023
36,,,0,,,0,2023
37,41,14,17,887.2,714.7,4204.117647,2023
38,41,14,14,694.8,535.4,3824.285714,2023
39,41,15,13.9,874.6,1422.1,10230.93525,2023
40,40,10,15.7,817.6,662.4,4219.10828,2023
41,42,15,17.3,1118,909.4,5256.647399,2023
42,41,13,17.9,1041,884,4938.547486,2023
43,40,15,13.7,799.8,625.3,4564.233577,2023
44,43,14,12.8,1165.6,978.5,7644.53125,2023
45,41,14,14.3,889.4,716.4,5009.79021,2023
46,,,0,,,0,2023
47,44,15,17,991.2,793.6,4668.235294,2023
48,41,14,7.9,794,588.9,7454.43038,2023
49,41,14,14.1,1031.2,843,5978.723404,2023
50,42,12,7.6,589.4,426.8,5615.789474,2023
51,42,14,15.2,1009.2,812.7,5346.710526,2023
52,42,15,15.8,1203,969.8,6137.974684,2023
53,40,15,10.9,623.2,482.5,4426.605505,2023
54,41,13,16.8,1015.8,798.5,4752.97619,2023
55,,,0,,,0,2023
56,43,14,11.8,940.4,773.5,6555.084746,2023
57,,,0,,,0,2023
58,42,10,15.7,462.4,379.3,2415.923567,2023
59,51,8,10.2,872,699.5,6857.843137,2023
60,41,15,8.2,771.2,579.7,7069.512195,2023
61,40,14,14.3,818.4,644.5,4506.993007,2023
62,43,13,16.3,879.2,729.8,4477.300613,2023
63,42,14,16,1139.2,939.5,5871.875,2023
64,41,13,11.3,695,537,4752.212389,2023
65,41,15,14.3,741.6,551.6,3857.342657,2023
66,40,15,10.3,715.8,572,5553.398058,2023
67,42,14,12.8,950,737.5,5761.71875,2023
68,42,15,15.2,1106.6,907.6,5971.052632,2023
69,42,13,14.9,677,545.5,3661.073826,2023
70,41,16,14.7,883.4,689.6,4691.156463,2023
71,40,14,14.6,888.4,674.5,4619.863014,2023
72,42,14,15.7,1053.6,891.2,5676.433121,2023
73,41,15,17.3,927.6,782.6,4523.699422,2023
74,,,0,,,0,2023
75,41,16,14.7,930,732.7,4984.353741,2023
76,43,13,16.1,995.2,841.4,5226.086957,2023
77,42,14,9.7,681,555.9,5730.927835,2023
78,40,12,12.7,680,495.9,3904.724409,2023
79,45,15,13.3,906,744.1,5594.736842,2023
80,45,16,13.9,422.8,335.1,2410.791367,2023
81,42,14,14.6,481.2,376.8,2580.821918,2023
82,43,11,15.1,475.6,372.9,2469.536424,2023
83,43,8,15.4,664.8,525.9,3414.935065,2023
84,41,15,13.7,834,656,4788.321168,2023
85,41,15,7.6,720.4,537.5,7072.368421,2023
86,45,15,13.8,906.4,759.8,5505.797101,2023
